id,lang,text
991102360733745157,tr,Sn. @UVeraTuna hanımefendi vefat eden #EsmaUludağ ın görüntülerine dayanamayarak acile kaldırılmış. Rabbim acil şifalar versin. Lütfen kendinize dikkat ediniz. Mümkünse biraz haberlere bakmayın. Yazdığı not aynen şöyle: https://t.co/iCDn6TTVMT
991686033669488640,tr,"@Umit_Burcundan Kesinlikle Katılmadığım Bir Fikir. Yıllardır Farklı Beyan Edenlerin Hali Ortada Olunca, Kimse Fikir Beyan Edemez Oldu. Üretemeyen Bir Nesil Yetişti. Veya Yetiştirdik? Aklını Kiraya Verenler Sadece AKP Tabanı Olmasa Gerek. Hala Kimse Eleştirmesin Diye Farklı Yazanlar Var. Entersn"
991691846731649025,tr,"Hizmet insanları için ""aklını kira verenler"" ifadesini kullananlar bana çok ukala geliyor. Kimsenin aklı sizden geri filan değil. Tenkiti değil hiçbişey üretmediği halde tenkit edenleri verdim nazara. Okuduğunuzu iyi anlayınız ! https://t.co/mV4DgfXC9s"
991433704575852544,en,More photos of police brutality today in Istanbul #1Mayıs #1May #MayDay https://t.co/csYXm91kMQ
991694254278959104,tr,"AYM, cezaevinde kitap yasağını hukuka aykırı buldu https://t.co/J1qZyrzHbO"
991512017667174400,en,"You know you’re a Leftist Democrat, when you applaud like a jackass at a vile potty mouth like @michelleisawolf, when in truth, you recognize that she has vaulted women’s and civil rights back into the dark ages.   #IfSlaveryWasAChoice  #WHCD  #KeepAmericaGreat   @GrrrGraphics https://t.co/Fv3kjuyrFI"
991699086108577792,en,Liberal hate makes them look like jackasses. https://t.co/dVJWRz4GbZ
991476607251460096,en,"""End DACA, unlawful from the get go!'  @POTUS @VP @SenTedCruz  @kelliwardaz  @RealErinCruz  @RealOmarNavarro  @AjaforCongress  @Johnny_Congress  @AntonioSabatoJr  @DiamondandSilk   Texas among states filing DACA lawsuit to end 'unlawful' program https://t.co/D7lAAHOXz8 #dog_lb"
991558444195991552,und,https://t.co/NqfmrogsJy
991553694788476928,tr,"Yeni Şafak'ın manşetine göre AKP seçim beyannamesinde şöyle diyecekmiş: “Dünya mazlumları ve mağdurları için adalet, özgürlük ve demokrasi ideallerini savunacağız.” İnatla habire uzattığınız 20 Temmuz OHAL sürecinin mazlum ve mağdurları ortadayken size kim inanır ve güvenir?!!!!!"
991703421207154688,en,@PinnacleSports Roma 3-0 El Sharway x2
991640533771534337,tr,HOKUS-POKUS- SEÇSİS  1. SEÇSİS ilk kez 2007seçimlerinde kullanıldı. %34 olan AKP oyları birden % 47'ye çıktı. SEÇSİS güvenliği HAVELSAN'a emanet. HAVELSAN yönetim kurulu başkanı AKP'li.!!! Her seçimde  yazılım uzmanı 20 personeli YSK'da görev alıyor. Kime nasıl güvenelim? https://t.co/9YJi8a6PDd
991557250656407552,tr,Şimdi bana Bu seçimin Adil (ADİ)olacağını anlatın hele .. https://t.co/mQRC4pKEiX
991431912953733121,tr,O yüzden değil! Millete iftira attığı ve Mit elemanı olduğu için. Ayrıca yakında içeri de atacaklar bu teyzeyi... https://t.co/MRZk1vS31X
991705917476474881,en,The Boy Scouts are dropping their due to complaints they not being inclusive to girls...  Where was the OUTRAGE when Non-Muslims little girls where not allowed to join the Muslim Only Girl Scout Troops!? #Frauds Scouts BSA https://t.co/0KXoTW3tAZ
991521489731182592,tr,"CHP, İYİ Parti, Saadet ve DP anlaştı: Muhalefetten ‘demokrasi ittifakı’ https://t.co/yQbGXSsc2Q https://t.co/uNZIEQi88r"
991698032214396928,tr,Demokrasi hedefinde buluşmak olumlu ama Meclis’te temsil edilen meşru bir parti olan HDP’yi dışlamak demokratik bir tavır mı?! https://t.co/3ZWcUSW7qJ
991707064283156480,en,The Boy Scouts are dropping their due to complaints they not being inclusive to girls...  Where was the OUTRAGE when Non-Muslims little girls were not allowed to join the Muslim Only Girl Scout Troops!?   #Frauds Scouts BSA #WednesdayWisdom https://t.co/AB3kucxY7U
991683366671052801,tr,Lan 2 yıldır ömrümüz adliyede geçiyor lan...  Lafa bak https://t.co/NQp2sU5rOz
991712671446847494,en,"In short, the reason that Muslims are once again waging war against the non-Muslim world is because they can."
991150407463374848,tr,BİR YİĞİT VARDI GÖMDÜLER KARŞI BAYIRA.  RECEP GÜNEŞ Abimiz Hakkın Rahmetine Kavuştu. Mekânı Cennet olsun inşaAllah. https://t.co/vQVt0A96Ss
968061890344693760,ur,میرے وطن یہ عقیدتیں اور پیار تجھ پہ نثار کردوں! محبتوں کے یہ سلسلے لازوال تجھ پہ نثار کردوں...!!! https://t.co/imnZLej5kw
990386281288028160,en,"Oh, BOO HOO…Muslim migrants don’t feel welcome in Italy…and that’s exactly how Italians want them to feel https://t.co/QFY3S6C97s https://t.co/NCv0uRjlol"
991570087474745344,tr,"Müslüman daima haklıdır,hiç hata yapmaz,hiçbir zaman sorumluluğu üstlenmez.İslam coğrafyalarındaki tüm olumsuzlukların sorumlusu ya kafirler,ya yahudiler,ya üst akıl,ya dış güçler,ya şer odakları,ya da CIA benzeri düşmanlardır!Bu aptal gerekçeyi yutmaya hazır milyonlar da hazırdr"
991644298209906688,en,"Most of you guys think it's all in the nose...  But the real indicator is the ear: Theirs sits lower than Whites' &amp; tips back toward the back of the head.  Whites' ears are upright, &amp; where they attach to the head lines up with the corner of the eye.  #WednesdayWisdom https://t.co/xFNdeaXQwr"
982702283459788800,und,https://t.co/hiKiJAqYia
991721349449158656,en,@SomeGuyInOKC @soldierofyah but that's ok your not much use to use anyways so have it
991723996054937601,en,Homecoming for Mohamed Salah but his task is to wreck Roma to so Liverpool will reach #UCLfinal. Odds for Reds winning the game is 2.47 while a home win is 2.65. Bet on this game now at https://t.co/h0FeLCs775   #ROMLIV https://t.co/7iCcu7NSdg
991724352595996672,de,Skandalös: Seit Januar schweigt die lokale Presse!! Säugling stirbt bereits am 12. Januar in #Göttingen an äusserer Gewalteinwirkung! Die Eltern (Täter!!) aus dem Kaukasus sind-wie sollte es  in DE auch sein- auf freiem Fuß!!  https://t.co/lhDncfaO7j
991693417624334342,en,JUST GOOGLE the names of the Kurdish cities of Nusaybin Sirnak Cizre &amp; Sur plus 'Kurds' to see how your tourism money is spent by the racist Govt in #Turkey. #boycottturkeytourism https://t.co/I2Q47rR0jb
991358988536119296,tr,Tahammül fersa hadiseler karşısında bir baba... Allah sabır ve dayanma gücü versin. Bu arada bu insani drama seyirci kalmayan Almanya’ya da teşekkür ve tebrikler. https://t.co/MjJHHswY68
988146901173329921,tr,Hizb-ut Tahrir #Lübnan Vilayeti Kadın Kolları #Hilafet'in İkamesi İçin Gösteri  #HilafetiİkameEdin #ReturnTheKhilafah #أقيموا_الخلافة  https://t.co/JHefhBho0m https://t.co/nvClNFXKBv
991725587860459520,en,"Same’s happening to Kurds in Syria as in Iraq. Kurds fighting Daesh w/US coalition. Yet in #Afrin, #Turkey killed Kurds, displaced Kurds &amp;sent other citizens to take Kurds’ homes. @LindseyGrahamSC @SecPompeo , Will US protect Kurds from Turkey? If not Kurds won’t trust us anymore https://t.co/kg55CIiI1n"
991689003408740352,tr,AKP'NİN MİLLİ SPORU: KUMAR! Kumar masasında görüntülenen  AKP Tekirdağ Milletvekili Metin Akgün: 'Bunlar bizim özel işlerimiz' Binali'nin tosunu da Singapur'da kumar masasında görüntülenmişti. https://t.co/XIyVHxiOVL
991735282943881219,ar,اللعنة https://t.co/lOOXqbaVVd
991738613242228738,in,@ArgeAmed12 4 namusu
991737676507250693,ca,"Avui fa 35 anys era assassinat Mehmet Karasungur, fundador del PKK i primer comandant de la guerrilla  https://t.co/KGGhPIRSAS https://t.co/RlZ0GGffxM"
991739789404721152,tr,"Münker ; Allah’ın yasaklamış olduğu şeylerin açıktan açığa yapılması mânâsına gelir. Diğer bir yaklaşımla o, evrensel doğrulara başkaldırma ve isyan etme mânâlarına gelir ki her  din ve her millette merduttur."
991741628942602241,uk,Полк АЗОВ відсвяткує четверту річницю створення підрозділу в Бердянську  https://t.co/zDlgyTYkiJ  #полк_Азов #АЗОВ #Бердянськ https://t.co/IQtoHcG5SW
991370923524673536,en,"'By what law?' #Kurds locked out of #Afrin as #Ghouta refugees take their place  Excellent article from Ammar Hamou, about the Horrific circumstances of those Cleansed from #Afrin, their homes Stolen &amp; Offered Free of Charge to New Arrivals  https://t.co/ZT52PVkZIe @MiddleEastEye"
991413646625574912,en,"These rebels expelled thousands of Kurds from #Efrin, looted the region, gave the remaining houses to Arab refugees and now think they can make it all okay by waving a single Kurdish flag. #Syria #twitterkurds https://t.co/Zh4enJmMmZ"
991744342657323008,tr,Kürdistan bölge bayrağının bu DAIŞ ve El Nusra artığı çeteler tarafından böyle gösterilmesi çok bilinçli aldatma çabasından başka birşey değildir.... Orada Kürt olduğunu da sanmıyorum. Zaten ENKS bizi oraya sokmuyorlar dedi... https://t.co/Let8PPw180
868018699617406976,tr,"İslam gerçekten Mekke için tasarlanmış bir dindir. Çok zorluyorsun, fazla ciddiye alıyorsun. Kendini gülünç durumlara düşürüyorsun. https://t.co/hMjOjTccB4"
991710184492978177,uk,"""ПРАВИЙ СЕКТОР"" В ЕСТОНІЇ - РЕАЛЬНІСТЬ, А НЕ МІФ  ▶️ https://t.co/JTRkiNt9Ee https://t.co/QEOq7XPMHp"
991745345100148737,en,HAHAHSHAHAHA why is that you @abrmali https://t.co/lMJD0xMOYj
991600764006125568,tr,"Akit yazarı:""Muhalefet çoğunluğu sağlarsa Cumhurbaşkanı buna izin vermez erken seçime gidilir ta ki cumhur ittifakı çoğunluğu sağlayana kadar"" diyeli birkaç saat oldu https://t.co/ofckBahyss"
991649284859879424,tr,"Arınç da dün ne demişti: “Yazı da çıksa tura da çıksa seçimi Erdoğan kazanır.”  Üniversitede hocalarımız, “İslamcılar iktidara seçimle gelir ama seçimle gitmezler” dediklerinde, önyargılı olduklarını düşünüp ne çok tartışmıştık. Oysa gerçeği söylüyorlarmış. https://t.co/6P6x513JJz"
991743899788967936,en,"@dawg_lb @POTUS GOD Bless Our Military, Veterans and a very special shout out to My ""Monk Warrior"" .@DeptofDefense"
991698547769774080,tr,"Yaşlı bir kadını sokak ortasında bu hale getirenlere polis denmez, bu alçaklar sürüsüne partizan milis ve hatta ancak şebbiha denilebilir!.. https://t.co/nNjG725P1P"
991663540900687873,en,"As an English speaking white man, I am staying out of London. You cannot make this stuff up  https://t.co/wQx3u2qv1Q https://t.co/OkzoQZ739r"
991747353467146243,en,"“My message to you is very clear: Wake up, America!”~@GenFlynn https://t.co/v4WUdgXHkY https://t.co/KMJOApEsTQ"
737710858709540865,tr,"Oruç sadece Mekke ve civarı için düşünülmüştür. Muhammed'in, dünyanın küreselliği hakkında bilgisi de yoktur. https://t.co/6gtuHqpEdx"
991694921806598144,und,https://t.co/hW4aFMbjgb
991749887510401024,en,"If a lying progressive like Franklin Delano Roosevelt would admit this it must have been non-controversial before his progressive policies and friends destroyed our educational, political, and legal systems.  Thank God FDR and Eleanor are still dead. https://t.co/kjgKhj0xLI"
991715413179424768,tr,Şu Suriyeli mendil satan yavrucağın ağlayışına yürek mi dayanır! Beyaz kıyafetli kadını annesi sanıyor. Sizin çocuğunuzun birgün bu duruma düşmeyeceğinin garantisi var mı? Şam’da bir cuma namazı uğruna bu yavrucağı bu hale düşürenleri Allah kahretsin!   https://t.co/X2VTkpUCHp
991722327904677888,en,@MrEdTrain Time to close down this sh*t show for good!
985080449755119617,und,https://t.co/omnIU1seIh
991727699344244736,en,REPORT: After a Year in Office Trump Out Performs Obama in EVERY ECONOMIC MEASUREMENT  #Trump2020  #KeepAmericaGreat  https://t.co/cPKrmy42pO https://t.co/SUYb6JKwT0
991732007859310592,tr,adamsın Ve adam gibi gazetecisin İşte bunların cezasını ödüyorsun güzel insan. https://t.co/fa1CRC8Rjy
991739207629594626,tr,yaptıkları bu sanat eserlerinde tekrar seçildikleri taktirde başımıza çorap öreceklerini anlatmaya çalışmışlar https://t.co/eCa3kvqgQm
991753565935812609,ja,安倍幕府を打倒せよ！　日本会議は教育勅語を語るな！ https://t.co/nsXatlyhFG
991755298154139648,fr,"@ChienTranquille Pas besoin de gaz™ , (((( ils ))) s'auto-asphixiront."
991755157447888896,fr,"Ilham Ahmed : Il y a des promesses internationales concernant Afrin  https://t.co/1ccKK7kRV3  ROJAVA- QAMISHLO - La coprésidente du Conseil démocratique syrien, Ilham Ahmed a déclaré que les parties internationales avaient promis de faire pression sur la Turquie pour qu'e... https://t.co/6gmV27XAPo"
991755549812412417,und,#TwitterKurds #Rojava #YPG #YPJ #SDF #Syria #Afrin #Turkey  #StopAfrinGenocide #BreakSilenceOnAfrin #StopAfrinOccupation https://t.co/BpM0eAqXas
991241865297997824,en,This is how displaced people of #Afrin are forced live while strangers occupied their homes @UNHumanRights @UNReliefChief @hamdiulukaya @ICRC @EmmanuelMacron @realDonaldTrump @nikkihaley @PutinRF_Eng @theresa_may https://t.co/dGYSULLLKz
991385657972084737,de,Es werden Flaschen auf Polizisten geworfen. Böller knallen. Offenbar wurden die Teilnehmer der #Antifa Kundgebung nicht durchsucht. Warum nicht? 🏴 #b0105 https://t.co/K7TXucs8C8
991603649540427776,de,"Weil irgendein Begleiter in der Gruppe des von der Polizei kontrollierten #AfD-Politikers #Reil Pfefferspray dabei hatte, durfte er(!) dann nicht zur #1Mai2018 Demo in #Essen. In #Berlin hatte die #Antifa reichlich Böller etc. dabei und wurde offenbar nicht kontrolliert. Tja... https://t.co/N2yUsc5Guk"
991748634130731009,de,"EINE WOCHE SPERRE VORBEI! Unsere kleinen elenden Stasi-Wichtel haben mir erneut den Account dicht gemacht, diesmal „nur“ für 7 Tage... Die Meinungen von Andersdenkenden sind gefährdeter als je zuvor! Politmafia setzt ihre politischen Säuberungen unentwegt fort... #fckU"
991669454823141376,en,"“The questions are an intrusion into the President’s Article 2  powers under the Constitution to fire any Executive Branch Employee...what the President was thinking is an outrageous.....as to the President’s unfettered power to fire anyone...” Joe Digenova, former US Attorney"
991760544557359104,ar,الافاعي و العقارب و الحشرات الخطرة تهدد حياة النازحين و خاصة الاطفال في طل عدم وجود ادوية مضادة لها بحسب رئسة الهلال الاحمر الكردي ريم قرمو..!! https://t.co/ppL5xRdxTl
991761514137817095,en,"Snakes, scorpions and dangerous insects threaten the lives of displaced people, especially children, in the absence of antiretroviral drugs, according to the Kurdish Red Crescent, Reem Qarmo...! https://t.co/RBARoy899Q"
991761874843648000,en,⏰ 44’ | #RomaLiverpool 1-2 | Dejan Lovren is the first player booked after a foul on El Shaarawy. #RomaLFC #ROMLIV https://t.co/5X0dnEKIUY
991745264191987713,tr,17 yaşındaki doğuştan engelli Burak VEFAT ETTİ.  Babası 8 Aralık 2016' dan beri tutukluydu.  Annesi Burak'ı tedavi ettiremedi.  Burak'ın hastalığı ağırlaşınca mahalleden bir kişi yardım etti. Annesi o esnada 2 yaşındaki kızını bırakacak yer bulamadı 😞  ÖnceAdalet SonraSeçim https://t.co/ZHPFxGHRrN
