id,lang,text
991241865297997824,en,This is how displaced people of #Afrin are forced live while strangers occupied their homes @UNHumanRights @UNReliefChief @hamdiulukaya @ICRC @EmmanuelMacron @realDonaldTrump @nikkihaley @PutinRF_Eng @theresa_may https://t.co/dGYSULLLKz
991723996054937601,en,Homecoming for Mohamed Salah but his task is to wreck Roma to so Liverpool will reach #UCLfinal. Odds for Reds winning the game is 2.47 while a home win is 2.65. Bet on this game now at https://t.co/h0FeLCs775   #ROMLIV https://t.co/7iCcu7NSdg
991433704575852544,en,More photos of police brutality today in Istanbul #1Mayıs #1May #MayDay https://t.co/csYXm91kMQ
990439126540390400,en,"Where is CNN now!?   Muslim couple is charged with enslaving a 5yr-old African girl in their home for 16 years!  The child slave was bought in W. Africa - the Jihadists abused her, made her cook, clean &amp; care for their 5 kids for 16+ years until neighbors helped her escape. #WHCD https://t.co/OuiZvhAYdr"
992459159844085761,en,Blue checkmarks learned a new meme from CNN and think incel is a movement https://t.co/aZrhWDnzDh
992364216995721217,en,"Using Islam to vet Sharia supremacists. Will they condemn Mohammed's killing of apostates, or wife beating? https://t.co/Ee1fM2Uspn"
992515082256093186,en,"Turkish terrorists kidnap women, murder civilians, steal from homes and resettle strangers in peoples homes. They are a threat to peace in both Syria and Europe.   @RT_Erdogan must be stopped... https://t.co/3LIOu807BA"
991699853523718147,en,The ‘Sultan’ of an illusionary Ottoman Empire—Turkey’s President Erdogan—is pressuring submissive politicians throughout the Balkan countries to do his bidding to restore the glory of the Ottoman period. @ediramaal @RT_Erdogan https://t.co/mazTdd72RY https://t.co/9IL1BMxMTB
991433449704747008,en,May Day in Istanbul - protesters beaten and brutally arrested as they try to make their way to the sealed off Taksim Square where the yearly May Day march usually takes place  #MayDay #1Mayıs #1May https://t.co/eg0aOUR3px
991370923524673536,en,"'By what law?' #Kurds locked out of #Afrin as #Ghouta refugees take their place  Excellent article from Ammar Hamou, about the Horrific circumstances of those Cleansed from #Afrin, their homes Stolen &amp; Offered Free of Charge to New Arrivals  https://t.co/ZT52PVkZIe @MiddleEastEye"
